char_grp_code,char_grp_id,code,label,label_id,order
age_5yr_int,,15_19,15-19,,1
age_5yr_int,,20_24,20-24,,2
age_5yr_int,,25_29,25-29,,3
age_5yr_int,,30_34,30-34,,4
age_5yr_int,,35_39,35-39,,5
age_5yr_int,,40_44,40-44,,6
age_5yr_int,,45_49,45-49,,7
marital_status,,married,"Married, or in union",,21
marital_status,,unmarried,"Unmarried, sexually active",,22
residence,,urban,Urban,,25
residence,,rural,Rural,,26
wealth_quintile,,lowest_5,Lowest,,31
wealth_quintile,,lower_5,Lower,,32
wealth_quintile,,middle_5,Middle,,33
wealth_quintile,,higher_5,Higher,,34
wealth_quintile,,highest_5,Highest,,35
wealth_tertile,,lowest_3,Lowest,,37
wealth_tertile,,middle_3,Middle,,38
wealth_tertile,,highest_3,Highest,,39
region_gh,,gh_ashanti,Ashanti,,10001
region_gh,,gh_brong_ahafo,Brong Ahafo,,10002
region_gh,,gh_central,Central,,10003
region_gh,,gh_eastern,Eastern,,10004
region_gh,,gh_greater_accra,Greater Accra,,10005
region_gh,,gh_northern,Northern,,10006
region_gh,,gh_upper_east,Upper East,,10007
region_gh,,gh_upper_west,Upper West,,10008
region_gh,,gh_volta,Volta,,10009
region_gh,,gh_western,Western,,10010
facility_type_gh,,gh_hospital_polyclinic,Hospital/Polyclinic,,100001
facility_type_gh,,gh_health_center,Health center/Health clinic,,100002
facility_type_gh,,gh_chps,CHPS,,100003
facility_type_gh,,gh_pharmacy_other,Pharmacy/Chemist/Retail/Other,,100004
methods_all,,m_all_ster,Sterilization,,1001
methods_all,,m_all_impl,Implants,,1002
methods_all,,m_all_iud,IUD,,1003
methods_all,,m_all_inj,Injectables,,1004
methods_all,,m_all_pill,Pill,,1005
methods_all,,m_all_c,Condoms,,1006
methods_all,,m_all_mod,Other modern methods,,1007
methods_all,,m_all_trad,Traditional methods,,1008
methods_all_non,,m_all_non_ster,Sterilization,,1101
methods_all_non,,m_all_non_impl,Implants,,1102
methods_all_non,,m_all_non_iud,IUD,,1103
methods_all_non,,m_all_non_inj,Injectables,,1104
methods_all_non,,m_all_non_pill,Pill,,1105
methods_all_non,,m_all_non_c,Condoms,,1106
methods_all_non,,m_all_non_mod,Other modern methods,,1107
methods_all_non,,m_all_non_trad,Traditional methods,,1108
methods_all_non,,m_all_non,Non-user,,1109
