id,code,value,lower_ci,upper_ci,level_ci,precision,is_total,denom_w,denom_uw,indicator_code,char1_code,char2_code,survey_code,subgeo_code
,,15.4,,,,,1,,,mcpr_aw,,,GH2013PMA,
,,14.1,,,,,,,,mcpr_aw,urban,,GH2013PMA,
,,16.8,,,,,,,,mcpr_aw,rural,,GH2013PMA,
,,14.3,,,,,,,,mcpr_aw,lowest_5,,GH2013PMA,
,,14.7,,,,,,,,mcpr_aw,lower_5,,GH2013PMA,
,,15.6,,,,,,,,mcpr_aw,middle_5,,GH2013PMA,
,,16.2,,,,,,,,mcpr_aw,higher_5,,GH2013PMA,
,,14.3,,,,,,,,mcpr_aw,highest_5,,GH2013PMA,
,,16.1,,,,,1,,,mcpr_aw,,,GH2014PMA,
,,14.6,,,,,,,,mcpr_aw,urban,,GH2014PMA,
,,17.7,,,,,,,,mcpr_aw,rural,,GH2014PMA,
,,15.6,,,,,,,,mcpr_aw,lowest_5,,GH2014PMA,
,,14.7,,,,,,,,mcpr_aw,lower_5,,GH2014PMA,
,,15.2,,,,,,,,mcpr_aw,middle_5,,GH2014PMA,
,,19.9,,,,,,,,mcpr_aw,higher_5,,GH2014PMA,
,,15.1,,,,,,,,mcpr_aw,highest_5,,GH2014PMA,
,,21.4,,,,,1,,,mcpr_aw,,,GH2015PMA,
,,19.3,,,,,,,,mcpr_aw,urban,,GH2015PMA,
,,24.4,,,,,,,,mcpr_aw,rural,,GH2015PMA,
,,20.2,,,,,,,,mcpr_aw,lowest_5,,GH2015PMA,
,,20.8,,,,,,,,mcpr_aw,lower_5,,GH2015PMA,
,,19.6,,,,,,,,mcpr_aw,middle_5,,GH2015PMA,
,,25.7,,,,,,,,mcpr_aw,higher_5,,GH2015PMA,
,,21,,,,,,,,mcpr_aw,highest_5,,GH2015PMA,
,,27.5,,,,,1,,,uneed_tot_aw,,,GH2013PMA,
,,24.8,,,,,,,,uneed_tot_aw,urban,,GH2013PMA,
,,30.3,,,,,,,,uneed_tot_aw,rural,,GH2013PMA,
,,33.6,,,,,,,,uneed_tot_aw,lowest_5,,GH2013PMA,
,,31.5,,,,,,,,uneed_tot_aw,lower_5,,GH2013PMA,
,,29.1,,,,,,,,uneed_tot_aw,middle_5,,GH2013PMA,
,,26.2,,,,,,,,uneed_tot_aw,higher_5,,GH2013PMA,
,,19,,,,,,,,uneed_tot_aw,highest_5,,GH2013PMA,
,,26.6,,,,,1,,,uneed_tot_aw,,,GH2014PMA,
,,23.3,,,,,,,,uneed_tot_aw,urban,,GH2014PMA,
,,30.3,,,,,,,,uneed_tot_aw,rural,,GH2014PMA,
,,31.7,,,,,,,,uneed_tot_aw,lowest_5,,GH2014PMA,
,,29.4,,,,,,,,uneed_tot_aw,lower_5,,GH2014PMA,
,,28.7,,,,,,,,uneed_tot_aw,middle_5,,GH2014PMA,
,,21.3,,,,,,,,uneed_tot_aw,higher_5,,GH2014PMA,
,,20.8,,,,,,,,uneed_tot_aw,highest_5,,GH2014PMA,
,,22.9,,,,,1,,,uneed_tot_aw,,,GH2015PMA,
,,19.8,,,,,,,,uneed_tot_aw,urban,,GH2015PMA,
,,27.3,,,,,,,,uneed_tot_aw,rural,,GH2015PMA,
,,29.1,,,,,,,,uneed_tot_aw,lowest_5,,GH2015PMA,
,,27.8,,,,,,,,uneed_tot_aw,lower_5,,GH2015PMA,
,,24.1,,,,,,,,uneed_tot_aw,middle_5,,GH2015PMA,
,,17.1,,,,,,,,uneed_tot_aw,higher_5,,GH2015PMA,
,,15.7,,,,,,,,uneed_tot_aw,highest_5,,GH2015PMA,
