id,code,value,lower_ci,upper_ci,level_ci,precision,is_total,denom_w,denom_uw,indicator_code,char1_code,char2_code,survey_code,subgeo_code
,,41.8,,,,,1,,,mcpr_aw,,,KE2014PMA,
,,43.8,,,,,,,,mcpr_aw,urban,,KE2014PMA,
,,40.2,,,,,,,,mcpr_aw,rural,,KE2014PMA,
,,37.6,,,,,,,,mcpr_aw,lowest_5,,KE2014PMA,
,,44.4,,,,,,,,mcpr_aw,lower_5,,KE2014PMA,
,,44,,,,,,,,mcpr_aw,middle_5,,KE2014PMA,
,,42.8,,,,,,,,mcpr_aw,higher_5,,KE2014PMA,
,,42.9,,,,,,,,mcpr_aw,highest_5,,KE2014PMA,
,,40.9,,,,,1,,,mcpr_aw,,,KE2015PMA,
,,44.2,,,,,,,,mcpr_aw,urban,,KE2015PMA,
,,38.8,,,,,,,,mcpr_aw,rural,,KE2015PMA,
,,39.7,,,,,,,,mcpr_aw,lowest_5,,KE2015PMA,
,,38.5,,,,,,,,mcpr_aw,lower_5,,KE2015PMA,
,,40.7,,,,,,,,mcpr_aw,middle_5,,KE2015PMA,
,,42.6,,,,,,,,mcpr_aw,higher_5,,KE2015PMA,
,,43,,,,,,,,mcpr_aw,highest_5,,KE2015PMA,
,,48.1,,,,,1,,,mcpr_aw,,,KE2015PMA_2,
,,51.2,,,,,,,,mcpr_aw,urban,,KE2015PMA_2,
,,46.1,,,,,,,,mcpr_aw,rural,,KE2015PMA_2,
,,45.1,,,,,,,,mcpr_aw,lowest_5,,KE2015PMA_2,
,,46,,,,,,,,mcpr_aw,lower_5,,KE2015PMA_2,
,,44.3,,,,,,,,mcpr_aw,middle_5,,KE2015PMA_2,
,,55.5,,,,,,,,mcpr_aw,higher_5,,KE2015PMA_2,
,,50.3,,,,,,,,mcpr_aw,highest_5,,KE2015PMA_2,
,,18.7,,,,,1,,,uneed_tot_aw,,,KE2014PMA,
,,16,,,,,,,,uneed_tot_aw,urban,,KE2014PMA,
,,20.8,,,,,,,,uneed_tot_aw,rural,,KE2014PMA,
,,24.6,,,,,,,,uneed_tot_aw,lowest_5,,KE2014PMA,
,,16.7,,,,,,,,uneed_tot_aw,lower_5,,KE2014PMA,
,,15.1,,,,,,,,uneed_tot_aw,middle_5,,KE2014PMA,
,,17,,,,,,,,uneed_tot_aw,higher_5,,KE2014PMA,
,,15.4,,,,,,,,uneed_tot_aw,highest_5,,KE2014PMA,
,,16.6,,,,,1,,,uneed_tot_aw,,,KE2015PMA,
,,12.1,,,,,,,,uneed_tot_aw,urban,,KE2015PMA,
,,19.5,,,,,,,,uneed_tot_aw,rural,,KE2015PMA,
,,19.3,,,,,,,,uneed_tot_aw,lowest_5,,KE2015PMA,
,,21.1,,,,,,,,uneed_tot_aw,lower_5,,KE2015PMA,
,,16.9,,,,,,,,uneed_tot_aw,middle_5,,KE2015PMA,
,,13.9,,,,,,,,uneed_tot_aw,higher_5,,KE2015PMA,
,,11.6,,,,,,,,uneed_tot_aw,highest_5,,KE2015PMA,
,,14.6,,,,,1,,,uneed_tot_aw,,,KE2015PMA_2,
,,11.6,,,,,,,,uneed_tot_aw,urban,,KE2015PMA_2,
,,16.6,,,,,,,,uneed_tot_aw,rural,,KE2015PMA_2,
,,18.2,,,,,,,,uneed_tot_aw,lowest_5,,KE2015PMA_2,
,,17.3,,,,,,,,uneed_tot_aw,lower_5,,KE2015PMA_2,
,,14.5,,,,,,,,uneed_tot_aw,middle_5,,KE2015PMA_2,
,,12.1,,,,,,,,uneed_tot_aw,higher_5,,KE2015PMA_2,
,,10.5,,,,,,,,uneed_tot_aw,highest_5,,KE2015PMA_2,
