label_id,label,order,type,year,round,start_date,end_date,code,pma_code,country_id,country_code,geography_id,geography_code
,,101,PMA2020,2013,1,2013-10-03,2013-11-15,GH2013PMA,GHR1,,GH,,
,,102,PMA2020,2014,2,2014-01-01,2014-02-01,GH2014PMA,GHR2,,GH,,
,,103,PMA2020,2015,3,2014-12-01,2015-02-03,GH2015PMA,GHR3,,GH,,
,,104,PMA2020,2015,4,2015-05-10,2015-07-01,GH2015PMA_2,GHR4,,GH,,
,,105,PMA2020,2016,5,2016-07-30,2016-09-20,GH2016PMA,GHR5,,GH,,
,,201,PMA2020,2015,1,2014-12-01,2015-02-13,BF2015PMA,BFR1,,BF,,
,,202,PMA2020,2015,2,2015-05-20,2015-07-01,BF2015PMA_2,BFR2,,BF,,
,,203,PMA2020,2016,3,2016-02-27,2016-04-21,BF2016PMA,BFR3,,BF,,
,,204,PMA2020,2016,4,2016-11-18,2017-01-10,BF2017PMA,BFR4,,BF,,
,,301,PMA2020/Tulane,2014,1,2013-12-10,2014-02-21,CD2014TUL,CDR1,,CD,,
,,302,PMA2020,2014,2,2014-09-22,2014-11-01,CD2014PMA,CDR2,,CD,,
,,303,PMA2020,2015,3,2015-04-15,2015-06-02,CD2015PMA,CDR3,,CD,,
,,304,PMA2020,2015,4,2015-11-16,2016-01-02,CD2016PMA,CDR4,,CD,,
,,305,PMA2020,2016,5,2016-08-02,2016-10-22,CD2016PMA_2,CDR5,,CD,,
,,401,PMA2020,2015,1,2015-06-20,2015-08-11,NE2015PMA,NER1,,NE,,
,,402,PMA2020,2016,2,2016-02-24,2016-04-23,NE2016PMA,NER2,,NE,,
,,403,PMA2020,2016,3,2016-10-21,2016-12-30,NE2016PMA_2,NER3,,NE,,
,,501,PMA2020,2014,1,2014-09-20,2014-11-30,NG2014PMA,NGR1,,NG,,
,,502,PMA2020,2015,2,2015-08-19,2015-11-02,NG2015PMA,NGR2,,NG,,
,,503,PMA2020,2016,3,2016-05-02,2016-07-03,NG2016PMA,NGR3,,NG,,
,,504,PMA2020,2017,4,2017-03-30,2017-07-04,NG2017PMA,NGR4,,NG,,
,,601,PMA2020,2014,1,2014-06-10,2014-08-20,KE2014PMA,KER1,,KE,,
,,602,PMA2020,2015,2,2014-10-31,2015-01-15,KE2015PMA,KER2,,KE,,
,,603,PMA2020,2015,3,2015-05-31,2015-08-09,KE2015PMA_2,KER3,,KE,,
,,604,PMA2020,2016,4,2015-11-26,2016-02-11,KE2016PMA,KER4,,KE,,
,,605,PMA2020,2017,5,2016-11-02,2017-04-08,KE2017PMA,KER5,,KE,,
,,701,PMA2020,2014,1,2014-03-13,2014-05-15,UG2014PMA,UGR1,,UG,,
,,702,PMA2020,2015,2,2015-02-11,2015-05-17,UG2015PMA,UGR2,,UG,,
,,703,PMA2020,2015,3,2015-08-20,2015-10-30,UG2015PMA_2,UGR3,,UG,,
,,704,PMA2020,2016,4,2016-04-18,2016-06-19,UG2016PMA,UGR4,,UG,,
,,705,PMA2020,2017,5,2017-04-12,2017-06-28,UG2017PMA,UGR5,,UG,,
,,801,PMA2020,2014,1,2014-02-15,2014-05-01,ET2014PMA,ETR1,,ET,,
,,802,PMA2020,2015,2,2014-10-17,2015-01-11,ET2015PMA,ETR2,,ET,,
,,803,PMA2020,2015,3,2015-04-08,2015-06-26,ET2015PMA_2,ETR3,,ET,,
,,804,PMA2020,2016,4,2016-03-12,2016-05-27,ET2016PMA,ETR4,,ET,,
,,805,PMA2020,2017,5,2017-04-30,2017-07-20,ET2017PMA,ETR5,,ET,,
,,901,PMA2020,2015,1,2015-05-14,2015-08-22,ID2015PMA,IDR1,,ID,,
,,902,PMA2020,2016,2,2016-10-12,2016-12-18,ID2016PMA,IDR2,,ID,,
,,1001,PMA2020,2016,1,2016-05-26,2016-08-01,RJ2016PMA,RJR1,,IN,,
,,1002,PMA2020,2017,2,2017-02-07,2017-04-29,RJ2017PMA,RJR2,,IN,,
